"ca","community_area_name","hardship_index","per_capita_income_","percent_aged_16_unemployed","percent_aged_25_without_high_school_diploma","percent_aged_under_18_or_over_64","percent_households_below_poverty","percent_of_housing_crowded"
"1","Rogers Park","39","23939","8.7","18.2","27.5","23.6","7.7"
"2","West Ridge","46","23040","8.8","20.8","38.5","17.2","7.8"
"3","Uptown","20","35787","8.9","11.8","22.2","24","3.8"
"4","Lincoln Square","17","37524","8.2","13.4","25.5","10.9","3.4"
"5","North Center","6","57123","5.2","4.5","26.2","7.5","0.3"
"6","Lake View","5","60058","4.7","2.6","17","11.4","1.1"
"7","Lincoln Park","2","71551","5.1","3.6","21.5","12.3","0.8"
"8","Near North Side","1","88669","7","2.5","22.6","12.9","1.9"
"9","Edison Park","8","40959","6.5","7.4","35.3","3.3","1.1"
"10","Norwood Park","21","32875","9","11.5","39.5","5.4","2"
"11","Jefferson Park","25","27751","12.4","13.4","35.5","8.6","2.7"
"12","Forest Glen","11","44164","6.8","4.9","40.5","7.5","1.1"
"13","North Park","33","26576","9.9","14.4","39","13.2","3.9"
"14","Albany Park","53","21323","10","32.9","32","19.2","11.3"
"15","Portage Park","35","24336","12.6","19.3","34","11.6","4.1"
"16","Irving Park","34","27249","10","22.4","31.6","13.1","6.3"
"17","Dunning","28","26282","10","16.2","33.6","10.6","5.2"
"18","Montclaire","50","22014","13.8","23.5","38.6","15.3","8.1"
"19","Belmont Cragin","70","15461","14.6","37.3","37.3","18.7","10.8"
"20","Hermosa","71","15089","13.1","41.6","36.4","20.5","6.9"
"21","Avondale","42","20039","9.2","24.7","31","15.3","6"
"22","Logan Square","23","31908","8.2","14.8","26.2","16.8","3.2"
"23","Humboldt park","85","13781","17.3","35.4","38","33.9","14.8"
"24","West Town","10","43198","6.6","12.9","21.7","14.7","2.3"
"25","Austin","73","15957","22.6","24.4","37.9","28.6","6.3"
"26","West Garfield Park","92","10934","25.8","24.5","43.6","41.7","9.4"
"27","East Garfield Park","83","12961","19.6","21.3","43.2","42.4","8.2"
"28","Near West Side","15","44689","10.7","9.6","22.2","20.6","3.8"
"29","North Lawndale","87","12034","21.2","27.6","42.7","43.1","7.4"
"30","South Lawndale","96","10402","15.8","54.8","33.8","30.7","15.2"
"31","Lower West Side","76","16444","15.8","40.7","32.6","25.8","9.6"
"32","Loop","3","65526","5.7","3.1","13.5","14.7","1.5"
"33","Near South Side","7","59077","4.9","7.4","21.8","13.8","1.3"
"34","Armour Square","82","16148","16.7","34.5","38.3","40.1","5.7"
"35","Douglas","47","23791","18.2","14.3","30.7","29.6","1.8"
"36","Oakland","78","19252","28.7","18.4","40.4","39.7","1.3"
"37","Fuller Park","97","10432","33.9","26.6","44.9","51.2","3.2"
"38","Grand Boulevard","57","23472","24.3","15.9","39.5","29.3","3.3"
"39","Kenwood","26","35911","15.7","11.3","35.4","21.7","2.4"
"40","Washington Park","88","13785","28.6","25.4","42.8","42.1","5.6"
"41","Hyde Park","14","39056","8.4","4.3","26.2","18.4","1.5"
"42","Woodlawn","58","18672","23.4","16.5","36.1","30.7","2.9"
"43","South Shore","55","19398","20","14","35.7","31.1","2.8"
"44","Chatham","60","18881","24","14.5","40.3","27.8","3.3"
"45","Avalon Park","41","24454","21.1","10.6","39.3","17.2","1.4"
"46","South Chicago","75","16579","19.7","26.6","41.1","29.8","4.7"
"47","Burnside","79","12515","18.6","19.3","42.7","33","6.8"
"48","Calumet Heights","38","28887","20","11","44","11.5","2.1"
"49","Roseland","52","17949","20.3","16.9","41.2","19.8","2.5"
"50","Pullman","51","20588","22.8","13.1","38.6","21.6","1.5"
"51","South Deering","65","14685","16.3","21","39.5","29.2","4"
"52","East Side","64","17104","12.1","31.9","42.8","19.2","6.8"
"53","West Pullman","62","16563","19.4","20.5","42.1","25.9","3.3"
"54","Riverdale","98","8201","34.6","27.5","51.5","56.5","5.8"
"55","Hegewisch","44","22677","9.6","19.2","42.9","17.1","3.3"
"56","Garfield Ridge","32","26353","11.3","19.3","38.1","8.8","2.6"
"57","Archer Heights","67","16134","16.5","35.9","39.2","14.1","8.5"
"58","Brighton Park","84","13089","13.9","45.1","39.3","23.6","14.4"
"59","McKinley Park","61","16954","13.4","32.9","35.6","18.7","7.2"
"60","Bridgeport","43","22694","13.7","22.2","31.3","18.9","4.5"
"61","New City","91","12765","23","41.5","38.9","29","11.9"
"62","West Elsdon","69","15754","16.7","37","37.7","15.6","11.1"
"63","Gage Park","93","12171","18.2","51.5","38.8","23.4","15.8"
"64","Clearing","29","25113","9.5","18.8","37.6","8.9","2.7"
"65","West Lawn","56","16907","9.6","33.6","39.6","14.9","5.8"
"66","Chicago Lawn","80","13231","17.1","31.2","40.6","27.9","7.6"
"67","West Englewood","89","11317","35.9","26.3","40.7","34.4","4.8"
"68","Englewood","94","11888","28","28.5","42.5","46.6","3.8"
"69","Greater Grand Crossing","66","17285","23","16.5","41","29.6","3.6"
"70","Ashburn","37","23482","11.7","17.7","36.9","10.4","4"
"71","Auburn Gresham","74","15528","28.3","18.5","41.9","27.6","4"
"72","Beverly","12","39523","8","3.7","40.5","5.1","0.9"
"73","Washington Height","48","19713","20.8","13.7","42.6","16.9","1.1"
"74","Mount Greenwood","16","34381","8.7","4.3","36.8","3.4","1"
"75","Morgan Park","30","27149","15","10.8","40.3","13.2","0.8"
"76","O'Hare","24","25828","7.1","10.9","30.3","15.4","3.6"
"77","Edgewater","19","33385","9.2","9.7","23.8","18.2","4.1"
,"CHICAGO",,"28202","12.9","19.5","33.5","19.7","4.7"
